title,description,site,class
Altcoin,Altcoins are alternative cryptocurrencies launched after the success of Bitcoin.,https://www.investopedia.com/terms/a/altcoin.asp,1
Asya,Asya'da Altcoin Ticaret Özeti: DigixDAO Zirvede www.cointuyo.com/2018/03/17/asyada-altcoin-ticaret-ozeti-...,https://www.flickr.com/photos/156058336@N03/40157099764,1
Blockfolio Bitcoin/Altcoin App,Blockfolio Bitcoin / Altcoin App Blockfolio LLC Locker VERSION/BUILD: 1.1.10 UPDATED: 14 March 2018 REQUIRES ANDROID: 4.1 and up FILE SIZE: 12.78 M Blockfolio Bitcoin and Altcoin Portfolio App offers complete cryptocurrency management; with easy to use tools …,https://www.anroed.com/2017/03/blockfolio-bitcoinaltcoin-app.html,1
Consensus Week Bitcoin & Altcoin GAIN Predictions? // Giveaways; Mailbag; Encouragement!,Originally livestreamed on May 13; 2018! The post Consensus Week Bitcoin & Altcoin GAIN Predictions? // Giveaways; Mailbag; Encouragement! appeared first on DECENTRALIZED TV. The post Consensus Week Bitcoin & Altcoin GAIN Predictions? // Giveaways; Mailbag; E…,https://decentralized.tv/consensus-week-bitcoin-altcoin-gain-predictions-giveaways-mailbag-encouragement/,1
Lightning Network – An Altcoin of all Altcoins!,Wait a moment… is this true? How could it be?! The post Lightning Network – An Altcoin of all Altcoins! appeared first on DECENTRALIZED TV. The post Lightning Network – An Altcoin of all Altcoins! appeared first on.,https://decentralized.tv/lightning-network-an-altcoin-of-all-altcoins/,1
CryptocurrencyAltcoin exchange script,Altcoin exchange script employs turnkey solution for developing cryptocurrency exchange. Altcoin exchange script offers a reliable and secure transaction process for an improved user experience which is based on implementing the blockchain technology. www.blo…,https://steveaustineric.deviantart.com/art/CryptocurrencyAltcoin-exchange-script-737784909,1
Bitcoin is Money; Ethereum is Empowerment,Bitcoin is money; Ethereum is empowerment. Since 2013 altcoin after altcoin has tried and failed to replace Bitcoin as the number one cryptocurrency on the market. It is fascinating how Bitcoin persists even though other coins may be faster; cheaper to move; …,https://www.youbrandinc.com/crytocurrency/bitcoin-is-money-ethereum-is-empowerment/,0
Lattice80 to launch altcoin futures,LATTICE80; London headquartered Global Fintech Hub has revealed its plan to launch World’s first Altcoin Futures this year at Money 20/20 Asia in Singapore.,https://www.finextra.com/pressarticle/72979/lattice80-to-launch-altcoin-futures?utm_medium=rss&utm_source=finextrafeed,1
Asian Altcoin Trading Roundup: Steem Steams Ahead,FOMO Moments The rout has continued and markets have fallen faster again today. Selling pressure could not be overcome and has accelerated through the morning in Asia with markets tumbling towards $300 billion. Bitcoin has continued to slide falling back 4% o…,https://www.newsbtc.com/2018/05/24/333322/,0
- Woran erkennt man eine Altcoin-Kursrallye?,Nicht nur Bitcoin und Ethereum; auch viele andere Währungen können massive Gewinne vorweisen. Insgesamt können aktuell gerade kleinere Altcoins hohe Kursgewinne verbuchen; sodass das Marktkapital von neueren oder unbekannteren Kryptowährungen über das von Bit…,https://www.focus.de/finanzen/boerse/kryptowaehrungen/woran-erkennt-man-eine-altcoin-kursrallye_id_8885403.html,1
- Altcoin-Marktanalyse KW19 – Verschnaufpause nach Rallye,Das gesamte Marktkapital ist fast dasselbe wie letzte Woche. Im Durchschnitt sind entsprechend die Kryptowährungen auch kaum angestiegen; wobei hier es hier eindeutige Gewinner (Bitcoin Cash) und eindeutige Verlierer (Tron) gibt.,https://www.focus.de/finanzen/boerse/kryptowaehrungen/altcoin-marktanalyse-kw19-verschnaufpause-nach-rallye_id_8893087.html,0
Altcoin Update – EOS; Ethereum; Ripple; and IOTA,Altcoin Update: The EOS coin jumped almost 50% in the last seven days alone; allowing its market cap to surpass $7.1 billion level. The latest market rally in cryptocurrency prices added to EOS price. The sixth largest coin rose more than 30% yesterday; and i…,https://www.youbrandinc.com/crytocurrency/altcoin-update-eos-ethereum-ripple-and-iota/,1
test-pycoin added to PyPI,Fork richard Utilities for Bitcoin and altcoin addresses and transaction manipulation.,https://pypi.org/project/test-pycoin/,0
Feathercoin,Feathercoin - leading neoscrypt altcoin. Now as 3d printable coin. Have fun!,https://www.thingiverse.com/thing:2851950,1
