fol., re, fav, sentiment, text, time
144, 66, 0, neutral, RT @officialmcafee: MEME VOTING! I will now give 1 Bitcoin to the winner of the jpeg entries and 1 Bitcoin to the winner of the animated en…, 2018-06-09 21:42:46
17105, 0, 0, positive, Bitcoin Is Not a Security: SEC Chair Sets the Record Straight https://t.co/2AQVGJImTY via @nulltx, 2018-06-09 21:42:44
58, 6, 0, positive, RT @LucidInvestment: I have listed a number of Wall Street adages that I find important. I am adding another to that list: Never short a du…, 2018-06-09 21:42:44
1127, 0, 0, neutral, @artofmanliness to me it's just variations on a #BigFoot, 2018-06-09 21:42:39
408, 158, 0, negative, RT @MatiasTrader: I use bitcoin to transfer my money everyday. Not to another party; but to my future self. Because if I were to store it o…, 2018-06-09 21:42:39
10187, 181, 0, neutral, RT @VTOSFOUNDATION: Nine Fundamental Factors That Drive the Price of Bitcoin  via: @BittoxNews   https://t.co/ZlJPY4layz, 2018-06-09 21:42:38
110528, 0, 0, neutral, Manipulation Probe: US Regulator Demands Info From Bitcoin Exchanges https://t.co/BC7qcBCUgi, 2018-06-09 21:42:37
110528, 0, 0, neutral, Crypto 'Currency?' Only 10% Of Bitcoin Cash Used For Transactions https://t.co/vrv68nxMKk, 2018-06-09 21:42:37
110528, 0, 0, negative, Bitcoin Magazine's Week in Review: Looking to the Past and the Future https://t.co/zjerUuFt6h, 2018-06-09 21:42:37
34, 1711, 0, neutral, RT @CyberSurf3r: Estoy en el Búnker de @dcabellor en donde tiene una granja de minería Bitcoin; ciudadano Diosdado Cabello Rondón; usted ha…, 2018-06-09 21:42:35
735, 7, 0, positive, RT @CryptoNSleeps: Very insightful and accurate article on $TFD's new partnership. A team whose execution is consistently on point is one o…, 2018-06-09 21:42:34
10187, 300, 0, neutral, RT @VTOSFOUNDATION: Universities Have Started to Invest in Bitcoin; Start of Institutional Adoption  Via: @CryptoCoinsNews   https://t.co/8…, 2018-06-09 21:42:33
5695, 1507, 0, neutral, RT @DeNetPro: Kirill Nikolaev; Founder of Bitcoin VIP and #DeNet adviser; participated in the Monaco International Blockchain event.  This…, 2018-06-09 21:42:32
2884, 133, 0, positive, RT @aantonop: Many people will be lured into this space through cliches like "blockchain not Bitcoin." Others will be drawn by the price. B…, 2018-06-09 21:42:31
542, 0, 0, neutral, @Bitcoin_Key 0x5110036933a91F3a5D90F3c589a5800C285A759F, 2018-06-09 21:42:30
110528, 0, 0, neutral, Here's Why Ethereum (ETH) Will Outperform Bitcoin Cash (BCH) This Year https://t.co/1NSYDrwHqj, 2018-06-09 21:42:29
946, 111, 0, neutral, RT @ltc: Greatness is coming for #Litecoin https://t.co/AdMek5fexW, 2018-06-09 21:42:28
334, 0, 0, positive, (1) I’m telling u about #Bitcoin #BTC bc it’s the best SOV in the world; will scale to other use cases like medium… https://t.co/XDpeJAZqZl, 2018-06-09 21:42:28
904, 0, 0, negative, "Blockchain not Bitcoin" is a typical argument of someone who doesn't understand how blockchain works. You can't ju… https://t.co/5nd3avn4vC, 2018-06-09 21:42:27
27, 152, 0, positive, RT @Autobayio: Good Friday Autobayers!  #MVP #mvpbuzz #f1jp #eth #ethereum #howdoo #btc #btcc #btcp #btcpeek #bitcoin #Blockchain #ripple #…, 2018-06-09 21:42:26
62, 29, 0, positive, RT @SubstratumNet: Four Exciting Things I Saw At #Substratum Development HQ last week by @overridepro   https://t.co/75WShHxpwc  #cryptocur…, 2018-06-09 21:42:25
276, 19, 0, neutral, RT @zerohedge: Data Shows Switch From Bitcoin "Hodlers" To Crypto-Speculators In Last 6 Months https://t.co/wrrOJPjE2Y, 2018-06-09 21:42:25
433, 1, 0, positive, RT @CoinsAirdrops: #Bitcoin #Satoshi #cryptocurrency #blockchain #Airdrop New Airdrop #Locktrip 📢  LockTrip $500;000 Airdrop Already listed…, 2018-06-09 21:42:23
15590, 5, 0, positive, RT @TraderOfFutures: The latest Syndicated Cryptocurrency News! https://t.co/4vGWGs6fPy Thanks to @kannagoldsun #blockchain #bitcoin, 2018-06-09 21:42:23
10187, 160, 0, neutral, RT @DecibelsToken: Our biggest fans this week: @bitcoin_honor; @Welckomtome; @fchrull95. Thank you! via https://t.co/BTzYe2zne8 https://t.c…, 2018-06-09 21:42:23
1636, 0, 0, neutral, @painted_frog @joeloregalatto @MrHodl Political scientist and grassroots movement builder for 15yrs here. Bitcoin a… https://t.co/ej9TmaKrE8, 2018-06-09 21:42:22
772, 0, 0, neutral, Looking for a Different Choice: NEM (XEM) a Future Winner! https://t.co/hHfsd3Ihcu, 2018-06-09 21:42:22
10167, 0, 0, neutral, US regulator demanding #Bitcoin exchanges hand over their trade data. They'll need a court order for that - they ar… https://t.co/sHHzojLgsm, 2018-06-09 21:42:21
170, 158, 0, negative, RT @MatiasTrader: I use bitcoin to transfer my money everyday. Not to another party; but to my future self. Because if I were to store it o…, 2018-06-09 21:42:19
56, 111, 0, neutral, RT @ltc: Greatness is coming for #Litecoin https://t.co/AdMek5fexW, 2018-06-09 21:42:19
2000, 0, 0, neutral, ビットコインのウォレット https://t.co/fHOUI91F5N   #仮想通貨 #BTC, 2018-06-09 21:42:18
188, 1, 0, positive, RT @CoinAirdropsAll: #Bitcoin #crypto #Airdrop New Airdrop #AVINOC 📢  AVINOC is airdropping a total amount of $1;500;000 to participants  3…, 2018-06-09 21:42:18
518, 2617, 0, neutral, RT @NeyrosNetwork: @NeyrosNetwork 99;999;999;999 NEYROS  Airdrops starts !!! fill the form : https://t.co/MHxx8D5wY1  #Airdrop #freetoken #…, 2018-06-09 21:42:16
13506, 23, 0, positive, RT @qurrex: Get ready for the Public Token Sale https://t.co/MTgWaofiM2 We are live in 12 hours!   #TokenSale #bitcoin #crypto #blockchain…, 2018-06-09 21:42:15
833, 158, 0, negative, RT @MatiasTrader: I use bitcoin to transfer my money everyday. Not to another party; but to my future self. Because if I were to store it o…, 2018-06-09 21:42:14
134, 61, 0, neutral, RT @btc: And that’s only just the beginning https://t.co/tVdDeN4k7v, 2018-06-09 21:42:14
563, 0, 0, neutral, @evoskuil @MrHodl @DeaterBob @VinnyLingham @real_vijay If rules are enforced by transactions; validation through sp… https://t.co/JdMHOKKyOn, 2018-06-09 21:42:12
542, 203, 0, neutral, RT @Bitcoin_Key: BITCOIN KEY  40;000;000 MILLION TOKEN AIRDROP ; 20;000 BTCK EACH    FOLLOW RETWEET COMMENT  To recieve instantly send 0 (z…, 2018-06-09 21:42:10
99, 133, 0, positive, RT @aantonop: Many people will be lured into this space through cliches like "blockchain not Bitcoin." Others will be drawn by the price. B…, 2018-06-09 21:42:09
72, 5, 0, positive, RT @nulltxnews: Bitcoin Is Not a Security: SEC Chair Sets the Record Straight https://t.co/3s7SF2vSsY, 2018-06-09 21:42:07
